share_holder,share_own_percent
Binh Duong Provincial People's Committee,0.9544
NGUYEN VAN HUNG,0.006
Nguyen Phu Thinh,0.0012
Pham Ngoc Thuan,0.0011
Giang Quoc Dung,0.0006
Nguyen Thi Thanh Nhan,0.0006
Quang Van Viet Cuong,0.0005
Nguyen Danh Tung,0.0005
Nguyen Van Hien Phuc,0.0004
Other,0.0011
