share_holder,share_own_percent
Masan Corporation,0.3103
Sunflower Construction Company Limited,0.1315
Nguyen Hoang Yen,0.0336
Madhur Maini,0.0088
Nguyen Yen Linh,0.0059
Nguyen Thi Thanh Thuy,0.0054
Danny Le,0.0026
Michael Hung Nguyen,0.0024
Nguyen Thieu Quang,0.0019
Other,0.1351
