share_holder,share_own_percent
Truong Gia Binh,0.0689
State Capital Investment Corporation,0.0567
BUI QUANG NGOC,0.0148
Truong Thi Thanh Thanh,0.0147
Hoang Minh Chau,0.0141
Phan Ngo Tong Hung,0.0134
Nguyen Thanh Nam,0.0094
Do Cao Bao,0.0093
Le Quang Tien,0.0063
Other,0.2247
