share_holder,share_own_percent
VIETTEL Group,0.147
State Capital Investment Corporation,0.0983
Vietnam Helicopter Corporation,0.0805
Saigon Newport One Member Limited Liability Corporation,0.0709
Do Van Hung,0.0015
Luu Trung Thai,0.0013
Le Van Be,0.0011
Pham Nhu Anh,0.0007
Tran Minh Dat,0.0007
Other,0.2287
