share_holder,share_own_percent
State Capital Investment Corporation,0.36
F&N Dairy Investments Pte Ltd,0.1769
Platinum Victory Pte. Ltd.,0.1062
Mai Kieu Lien,0.0031
Nguyen Thi Thanh Hoa,0.0005
Tran Minh Van,0.0004
Le Thi Ngoc Thuy,0.0003
Mai Hoai Anh,0.0002
Le Thanh Liem,0.0002
Other,0.1474
