share_holder,share_own_percent
Daiwa Securities Group Inc,0.1526
Ndh Investment Company Limited,0.0836
Nguyen Duy Hung,0.0082
Nguyen Manh Hung,0.0054
Nguyen Hong Nam,0.004
Nguyen Duy Khanh,0.0024
Nguyen Thi Thanh Ha,0.0022
Nguyen Duc Thong,0.0013
Nguyen Kim Long,0.0008
Other,0.1097
