share_holder,share_own_percent
Sunflower Sunny Investment Company Limited,0.2616
Nguyen Thi Phuong Thao,0.0802
Sovico Holdings Company,0.0759
Aviation Holdings Company,0.0592
NGUYEN THANH HUNG,0.0099
Luu Duc Khanh,0.0017
Nguyen Canh Son,0.0015
Nguyen Duc Thinh,0.0007
Dinh Viet Phuong,0.0006
Other,0.1154
