share_holder,share_own_percent
Dao Huu Huyen,0.1838
Ngo Thi Ngoc Lan,0.0664
Dao Huu Kha,0.0597
Nguyen Thi Hong Lan,0.0376
Dao Huu Duy Anh,0.0301
Dao Hong Hanh,0.0135
Dao Thi Quyen,0.0057
Phan Thi Nhung,0.0035
Bui Thi Ha Thu,0.0031
Other,0.0922
