share_holder,share_own_percent
Vietnam Post,0.0654
Nguyen Duc Thuy,0.0285
Nguyen Duc Thuy,0.0276
Duong Cong Doan,0.0058
Bui Thai Ha,0.0005
Vu Quoc Khanh,0.0004
Nguyen Anh Van,0.0004
Le Thi Thanh Nga,0.0004
Bui Thi Thanh Huyen,0.0004
Other,0.0023
