share_holder,share_own_percent
PYN Elite Fund (non-ucits),0.0538
Tran Trong Ngan,0.0473
Duong Cong Minh,0.0332
Tram Khai Hoa,0.0177
Tram Be,0.0147
Tram Thuyet Kieu,0.0144
Huynh Que Ha,0.013
Phan Huy Khang,0.0119
Duong Thi Liem,0.0063
Other,0.1201
