share_holder,share_own_percent
Sovico Holdings Company,0.1286
Pham Van Dau,0.0428
Nguyen Thi Phuong Thao,0.0373
Luu van Son,0.0301
Dao Duy Tuong,0.0273
Pham Khac Dung,0.012
Nguyen Huu Thanh,0.0116
Luu Thi Viet Hong,0.0034
Luu Duc Khanh,0.0029
Other,0.095
