share_holder,share_own_percent
RETAIL WORLD INVESTMENT CONSULTANT LIMITED LIABILITY COMPANY,0.1037
Tri Tam Company Limited,0.0986
Dinh Anh Huan,0.0222
Nguyen Duc Tai,0.0222
Tran Huy Thanh Tung,0.0075
Tran Kinh Doanh,0.0065
Robert Alan Willett,0.0047
Nguyen Thi Thu Huong,0.0045
Phan Thi Thu Hien,0.004
Other,0.1537
