share_holder,share_own_percent
FPT Corporation,0.0677
Doji Gold & Gems Group Joint Stock Company,0.0593
Nguyen Ha Long,0.0382
Do Anh Tu,0.0371
Le Quang Tien,0.0361
Do Minh Quan,0.0334
Tran Cam Nhung,0.0323
Do Quynh Anh,0.0307
Nguyen Thi Khanh Ly,0.0185
Other,0.3668
